STATE,STATEFP,State_fip,COUNTYFP,COUNTYNAME,County_fip,PLACEFP,city_fip,PLACENS,PLACENAME,TYPE,CLASSFP,FUNCSTAT,LINK
KS,20,US20,173,Sedgwick County,US20173,74025,US2074025,2397149,Viola city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,173,Sedgwick County,US20173,79000,US2079000,485662,Wichita city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,175,Seward County,US20175,37325,US2037325,2395552,Kismet city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,175,Seward County,US20175,39825,US2039825,485613,Liberal city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,177,Shawnee County,US20177,3250,US2003250,2394025,Auburn city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,177,Shawnee County,US20177,61400,US2061400,2396438,Rossville city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,177,Shawnee County,US20177,65600,US2065600,2395889,Silver Lake city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,177,Shawnee County,US20177,70075,US2070075,2804537,Tecumseh,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,177,Shawnee County,US20177,71000,US2071000,485655,Topeka city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,177,Shawnee County,US20177,74425,US2074425,2629183,Wakarusa,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,177,Shawnee County,US20177,79250,US2079250,2397313,Willard city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,179,Sheridan County,US20179,33350,US2033350,2394432,Hoxie city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,179,Sheridan County,US20179,63875,US2063875,2396571,Selden city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,181,Sherman County,US20181,19925,US2019925,2804538,Edson,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,181,Sherman County,US20181,26875,US2026875,485583,Goodland city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,181,Sherman County,US20181,35975,US2035975,2395491,Kanorado city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,183,Smith County,US20183,3025,US2003025,2394011,Athol city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,183,Smith County,US20183,11325,US2011325,2393773,Cedar city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,183,Smith County,US20183,26000,US2026000,2394869,Gaylord city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,183,Smith County,US20183,36550,US2036550,2395511,Kensington city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,183,Smith County,US20183,39100,US2039100,2395665,Lebanon city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,183,Smith County,US20183,65925,US2065925,2395900,Smith Center city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,185,Stafford County,US20185,33400,US2033400,2394439,Hudson city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,185,Stafford County,US20185,43850,US2043850,2395800,Macksville city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,185,Stafford County,US20185,58300,US2058300,2396306,Radium city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,185,Stafford County,US20185,62275,US2062275,2396496,St. John city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,185,Stafford County,US20185,64100,US2064100,2396579,Seward city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,185,Stafford County,US20185,67775,US2067775,2395948,Stafford city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,187,Stanton County,US20187,6575,US2006575,2804539,Big Bow,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,187,Stanton County,US20187,35600,US2035600,2395473,Johnson City city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,187,Stanton County,US20187,44375,US2044375,2395836,Manter city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,189,Stevens County,US20189,33425,US2033425,2394441,Hugoton city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,189,Stevens County,US20189,48600,US2048600,2395416,Moscow city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,191,Sumner County,US20191,2250,US2002250,2393981,Argonia city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,191,Sumner County,US20191,5500,US2005500,2394114,Belle Plaine city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,191,Sumner County,US20191,9900,US2009900,485550,Caldwell city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,191,Sumner County,US20191,15325,US2015325,2393624,Conway Springs city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,191,Sumner County,US20191,26200,US2026200,2394886,Geuda Springs city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,191,Sumner County,US20191,33500,US2033500,2394449,Hunnewell city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,191,Sumner County,US20191,45275,US2045275,2395051,Mayfield city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,191,Sumner County,US20191,46450,US2046450,2395321,Milan city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,191,Sumner County,US20191,46925,US2046925,2629165,Milton,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,191,Sumner County,US20191,49100,US2049100,2395137,Mulvane city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,191,Sumner County,US20191,53850,US2053850,2396118,Oxford city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,191,Sumner County,US20191,55175,US2055175,2804535,Peck,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,191,Sumner County,US20191,66650,US2066650,2395916,South Haven city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,191,Sumner County,US20191,76475,US2076475,485658,Wellington city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,193,Thomas County,US20193,8425,US2008425,2393413,Brewster city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,193,Thomas County,US20193,14650,US2014650,485557,Colby city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,193,Thomas County,US20193,26050,US2026050,2394870,Gem city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,193,Thomas County,US20193,39700,US2039700,2629163,Levant,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,193,Thomas County,US20193,45750,US2045750,2395099,Menlo city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,193,Thomas County,US20193,51825,US2051825,2395293,Oakley city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,193,Thomas County,US20193,59125,US2059125,2396356,Rexford city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,195,Trego County,US20195,14900,US2014900,2393599,Collyer city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,195,Trego County,US20195,52225,US2052225,2806535,Ogallah,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,195,Trego County,US20195,74450,US2074450,2397166,WaKeeney city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,197,Wabaunsee County,US20197,1350,US2001350,2393926,Alma city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,197,Wabaunsee County,US20197,1575,US2001575,2393931,Alta Vista city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,197,Wabaunsee County,US20197,21650,US2021650,2394701,Eskridge city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,197,Wabaunsee County,US20197,30575,US2030575,2394319,Harveyville city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,197,Wabaunsee County,US20197,43775,US2043775,2395066,McFarland city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,197,Wabaunsee County,US20197,44500,US2044500,2395839,Maple Hill city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,197,Wabaunsee County,US20197,50250,US2050250,2804544,Newbury,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,197,Wabaunsee County,US20197,54950,US2054950,2396166,Paxico city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,197,Wabaunsee County,US20197,62400,US2062400,2396507,St. Marys city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,197,Wabaunsee County,US20197,74225,US2074225,2804543,Wabaunsee,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,197,Wabaunsee County,US20197,75325,US2075325,2397188,Wamego city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,197,Wabaunsee County,US20197,79250,US2079250,2397313,Willard city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,199,Wallace County,US20199,64375,US2064375,2395858,Sharon Springs city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,199,Wallace County,US20199,74750,US2074750,2397178,Wallace city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,199,Wallace County,US20199,76675,US2076675,2629186,Weskan,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,201,Washington County,US20201,4250,US2004250,2394063,Barnes city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,201,Washington County,US20201,14200,US2014200,2393563,Clifton city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,201,Washington County,US20201,28625,US2028625,2394991,Greenleaf city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,201,Washington County,US20201,29400,US2029400,2394265,Haddam city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,201,Washington County,US20201,29875,US2029875,2394289,Hanover city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,201,Washington County,US20201,32650,US2032650,2394403,Hollenberg city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,201,Washington County,US20201,41425,US2041425,2395720,Linn city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,201,Washington County,US20201,44150,US2044150,2395816,Mahaska city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,201,Washington County,US20201,48450,US2048450,2395413,Morrowville city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,201,Washington County,US20201,54200,US2054200,2396130,Palmer city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,201,Washington County,US20201,73950,US2073950,2397147,Vining city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,201,Washington County,US20201,75825,US2075825,485656,Washington city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,203,Wichita County,US20203,39550,US2039550,2395684,Leoti city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,203,Wichita County,US20203,44600,US2044600,2629164,Marienthal,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,205,Wilson County,US20205,1625,US2001625,2393940,Altoona city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,205,Wilson County,US20205,6000,US2006000,2394132,Benedict city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,205,Wilson County,US20205,9150,US2009150,2393456,Buffalo city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,205,Wilson County,US20205,16150,US2016150,2393658,Coyville city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,205,Wilson County,US20205,24575,US2024575,485576,Fredonia city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,205,Wilson County,US20205,37675,US2037675,2804545,Lafontaine,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,205,Wilson County,US20205,49650,US2049650,485628,Neodesha city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,205,Wilson County,US20205,50150,US2050150,2395182,New Albany city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,207,Woodson County,US20207,49825,US2049825,2395173,Neosho Falls city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,207,Woodson County,US20207,56000,US2056000,2629168,Piqua,CENSUS DESIGNATED PLACE,U1,S,TRUE
KS,20,US20,207,Woodson County,US20207,71050,US2071050,2397039,Toronto city,INCORPORATED PLACE,C1,A,TRUE
KS,20,US20,207,Woodson County,US20207,80700,US2080700,485664,Yates Center city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,209,Wyandotte County,US20209,7975,US2007975,485548,Bonner Springs city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,209,Wyandotte County,US20209,20000,US2020000,485566,Edwardsville city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,209,Wyandotte County,US20209,36000,US2036000,485601,Kansas City city,INCORPORATED PLACE,C5,A,FALSE
KS,20,US20,209,Wyandotte County,US20209,37975,US2037975,485605,Lake Quivira city,INCORPORATED PLACE,C5,A,FALSE
KY,21,US21,1,Adair County,US21001,16750,US2116750,2404105,Columbia city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,3,Allen County,US21003,69114,US2169114,2405434,Scottsville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,5,Anderson County,US21005,44146,US2144146,2404895,Lawrenceburg city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,7,Ballard County,US21007,3412,US2103412,2629569,Bandana,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,7,Ballard County,US21007,3718,US2103718,2403159,Barlow city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,7,Ballard County,US21007,7390,US2107390,2403877,Blandville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,7,Ballard County,US21007,42292,US2142292,2404824,Kevil city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,7,Ballard County,US21007,43336,US2143336,2404845,La Center city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,7,Ballard County,US21007,48072,US2148072,2629642,Lovelaceville,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,7,Ballard County,US21007,83064,US2183064,2405740,Wickliffe city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,9,Barren County,US21009,13492,US2113492,2404008,Cave City city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,9,Barren County,US21009,31114,US2131114,2403700,Glasgow city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,9,Barren County,US21009,37234,US2137234,2629632,Hiseville,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,9,Barren County,US21009,59232,US2159232,2404475,Park City city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,11,Bath County,US21011,58710,US2158710,2404450,Owingsville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,11,Bath County,US21011,68160,US2168160,2405408,Salt Lick city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,11,Bath County,US21011,69852,US2169852,2405450,Sharpsburg city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,13,Bell County,US21013,1972,US2101972,2629566,Arjay,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,13,Bell County,US21013,51924,US2151924,2404251,Middlesborough city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,13,Bell County,US21013,61248,US2161248,2404524,Pineville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,15,Boone County,US21015,5428,US2105428,2629575,Belleview,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,15,Boone County,US21015,11170,US2111170,2402734,Burlington,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,15,Boone County,US21015,25300,US2125300,2403570,Erlanger city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,15,Boone County,US21015,27982,US2127982,2403620,Florence city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,15,Boone County,US21015,28882,US2128882,2629618,Francisville,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,15,Boone County,US21015,35542,US2135542,2629628,Hebron,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,15,Boone County,US21015,57030,US2157030,2403365,Oakbrook,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,15,Boone County,US21015,60312,US2160312,2629662,Petersburg,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,15,Boone County,US21015,63804,US2163804,2629670,Rabbit Hash,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,15,Boone County,US21015,78384,US2178384,2405624,Union city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,15,Boone County,US21015,79464,US2179464,2629699,Verona,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,15,Boone County,US21015,80490,US2180490,2405669,Walton city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,17,Bourbon County,US21017,52302,US2152302,2404264,Millersburg city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,17,Bourbon County,US21017,56820,US2156820,2404396,North Middletown city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,17,Bourbon County,US21017,59196,US2159196,2404473,Paris city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,19,Boyd County,US21019,2368,US2102368,2403121,Ashland city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,19,Boyd County,US21019,12610,US2112610,2629583,Cannonsburg,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,19,Boyd County,US21019,13420,US2113420,2404006,Catlettsburg city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,19,Boyd County,US21019,39592,US2139592,2629636,Ironville,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,19,Boyd County,US21019,82146,US2182146,2403017,Westwood,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,21,Boyle County,US21021,19882,US2119882,2404185,Danville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,21,Boyle County,US21021,41338,US2141338,2404815,Junction City city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,21,Boyle County,US21021,60258,US2160258,2404507,Perryville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,23,Bracken County,US21023,2674,US2102674,2403138,Augusta city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,23,Bracken County,US21023,10000,US2110000,2403935,Brooksville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,23,Bracken County,US21023,30718,US2130718,2403692,Germantown city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,25,Breathitt County,US21025,39952,US2139952,2404776,Jackson city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,27,Breckinridge County,US21027,15904,US2115904,2404083,Cloverport city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,27,Breckinridge County,US21027,34552,US2134552,2403799,Hardinsburg city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,27,Breckinridge County,US21027,39664,US2139664,2404767,Irvington city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,29,Bullitt County,US21029,9964,US2109964,2402721,Brooks,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,29,Bullitt County,US21029,28785,US2128785,2403655,Fox Chase city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,29,Bullitt County,US21029,35545,US2135545,2404674,Hebron Estates city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,29,Bullitt County,US21029,36982,US2136982,2404701,Hillview city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,29,Bullitt County,US21029,38670,US2138670,2404744,Hunters Hollow city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,29,Bullitt County,US21029,44362,US2144362,2404904,Lebanon Junction city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,29,Bullitt County,US21029,54228,US2154228,2404327,Mount Washington city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,29,Bullitt County,US21029,61356,US2161356,2404526,Pioneer Village city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,29,Bullitt County,US21029,70086,US2170086,2405458,Shepherdsville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,31,Butler County,US21031,53490,US2153490,2404305,Morgantown city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,31,Butler County,US21031,65982,US2165982,2404634,Rochester city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,31,Butler County,US21031,84432,US2184432,2405780,Woodbury city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,33,Caldwell County,US21033,20224,US2120224,2404193,Dawson Springs city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,33,Caldwell County,US21033,29080,US2129080,2403662,Fredonia city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,33,Caldwell County,US21033,63138,US2163138,2404574,Princeton city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,35,Calloway County,US21035,21322,US2121322,2629603,Dexter,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,35,Calloway County,US21035,35380,US2135380,2404668,Hazel city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,35,Calloway County,US21035,54642,US2154642,2404343,Murray city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,802,US2100802,2403078,Alexandria city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,5446,US2105446,2403846,Bellevue city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,11872,US2111872,2403969,California city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,15166,US2115166,2402781,Claryville,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,37,Campbell County,US21037,16372,US2116372,2404094,Cold Spring city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,18424,US2118424,2404152,Crestview city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,20350,US2120350,2404195,Dayton city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,28594,US2128594,2403648,Fort Thomas city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,36604,US2136604,2404699,Highland Heights city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,51438,US2151438,2405066,Melbourne city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,51564,US2151564,2404243,Mentor city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,55884,US2155884,2404373,Newport city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,70644,US2170644,2405465,Silver Grove city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,71976,US2171976,2405497,Southgate city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,83172,US2183172,2405743,Wilder city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,37,Campbell County,US21037,84522,US2184522,2405785,Woodlawn city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,39,Carlisle County,US21039,2044,US2102044,2403113,Arlington city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,39,Carlisle County,US21039,3664,US2103664,2403157,Bardwell city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,39,Carlisle County,US21039,19234,US2119234,2629599,Cunningham,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,41,Carroll County,US21041,13024,US2113024,2403999,Carrollton city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,41,Carroll County,US21041,30808,US2130808,2403694,Ghent city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,41,Carroll County,US21041,62958,US2162958,2404572,Prestonville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,41,Carroll County,US21041,68358,US2168358,2405414,Sanders city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,41,Carroll County,US21041,84900,US2184900,2405792,Worthville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,43,Carter County,US21043,32572,US2132572,2403732,Grayson city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,43,Carter County,US21043,57918,US2157918,2404430,Olive Hill city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,45,Casey County,US21045,46072,US2146072,2404924,Liberty city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,47,Christian County,US21047,18658,US2118658,2404157,Crofton city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,47,Christian County,US21047,26182,US2126182,2629612,Fairview,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,47,Christian County,US21047,28486,US2128486,2402496,Fort Campbell North,CENSUS DESIGNATED PLACE,M2,S,FALSE
KY,21,US21,47,Christian County,US21047,32032,US2132032,2629622,Gracey,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,47,Christian County,US21047,37918,US2137918,2404727,Hopkinsville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,47,Christian County,US21047,43444,US2143444,2404851,LaFayette city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,47,Christian County,US21047,57090,US2157090,2404406,Oak Grove city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,47,Christian County,US21047,59934,US2159934,2404500,Pembroke city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,49,Clark County,US21049,83676,US2183676,2405761,Winchester city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,51,Clay County,US21051,49656,US2149656,2405004,Manchester city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,51,Clay County,US21051,58062,US2158062,2629658,Oneida,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,53,Clinton County,US21053,694,US2100694,2403071,Albany city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,55,Crittenden County,US21055,18190,US2118190,2629597,Crayne,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,55,Crittenden County,US21055,50034,US2150034,2405022,Marion city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,55,Crittenden County,US21055,77124,US2177124,2629694,Tolu,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,57,Cumberland County,US21057,11098,US2111098,2403955,Burkesville city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,57,Cumberland County,US21057,50124,US2150124,2629647,Marrowbone,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,59,Daviess County,US21059,19288,US2119288,2806471,Curdsville,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,59,Daviess County,US21059,43030,US2143030,2806510,Knottsville,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,59,Daviess County,US21059,49026,US2149026,2629644,Maceo,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,59,Daviess County,US21059,50520,US2150520,2403261,Masonville,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,59,Daviess County,US21059,53670,US2153670,2806530,Moseleyville,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,59,Daviess County,US21059,58620,US2158620,2404448,Owensboro city,INCORPORATED PLACE,C1,A,TRUE
KY,21,US21,59,Daviess County,US21059,59124,US2159124,2806539,Panther,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,59,Daviess County,US21059,60654,US2160654,2806541,Philpot,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,59,Daviess County,US21059,61680,US2161680,2806543,Pleasant Ridge,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,59,Daviess County,US21059,67854,US2167854,2806558,St. Joseph,CENSUS DESIGNATED PLACE,U1,S,TRUE
KY,21,US21,59,Daviess County,US21059,71760,US2171760,2806562,Sorgho,CENSUS DESIGNATED PLACE,U1,S,TRUE
