city_fip,PLACENAME,State-City
US1822000,Evansville,US18-EVANSVILLE
US1833484,Highland,US18-HIGHLAND
US1848330,Melody Hill,US18-MELODY HILL
US1805662,Blanford,US18-BLANFORD
US1810954,Cayuga,US18-CAYUGA
US1813780,Clinton,US18-CLINTON
US1816732,Dana,US18-DANA
US1822576,Fairview Park,US18-FAIRVIEW PARK
US1853496,Newport,US18-NEWPORT
US1859238,Perrysville,US18-PERRYSVILLE
US1866762,St. Bernice,US18-ST. BERNICE
US1877912,Universal,US18-UNIVERSAL
US1818658,Dresser,US18-DRESSER
US1823854,Fontanet,US18-FONTANET
US1852956,New Goshen,US18-NEW GOSHEN
US1855098,North Terre Haute,US18-NORTH TERRE HAUTE
US1864512,Riley,US18-RILEY
US1867050,St. Mary of the Woods,US18-ST. MARY OF THE WOODS
US1868652,Seelyville,US18-SEELYVILLE
US1869336,Shepardsville,US18-SHEPARDSVILLE
US1875176,Tecumseh,US18-TECUMSEH
US1875428,Terre Haute,US18-TERRE HAUTE
US1876022,Toad Hop,US18-TOAD HOP
US1883384,West Terre Haute,US18-WEST TERRE HAUTE
US1840842,La Fontaine,US18-LA FONTAINE
US1840896,Lagro,US18-LAGRO
US1841562,Laketon,US18-LAKETON
US1854954,North Manchester,US18-NORTH MANCHESTER
US1864998,Roann,US18-ROANN
US1870524,Somerset,US18-SOMERSET
US1879370,Wabash,US18-WABASH
US1825054,Foster,US18-FOSTER
US1829592,Green Hill,US18-GREEN HILL
US1832854,Hedrick,US18-HEDRICK
US1835626,Independence,US18-INDEPENDENCE
US1839096,Judyville,US18-JUDYVILLE
US1840536,Kramer,US18-KRAMER
US1847340,Marshfield,US18-MARSHFIELD
US1858644,Pence,US18-PENCE
US1860084,Pine Village,US18-PINE VILLAGE
US1862856,Rainsville,US18-RAINSVILLE
US1872764,State Line City,US18-STATE LINE CITY
US1874780,Tab,US18-TAB
US1882934,West Lebanon,US18-WEST LEBANON
US1884410,Williamsport,US18-WILLIAMSPORT
US1806616,Boonville,US18-BOONVILLE
US1812034,Chandler,US18-CHANDLER
US1820638,Elberfeld,US18-ELBERFELD
US1845486,Lynnville,US18-LYNNVILLE
US1852650,Newburgh,US18-NEWBURGH
US1875302,Tennyson,US18-TENNYSON
US1810000,Campbellsburg,US18-CAMPBELLSBURG
US1825720,Fredericksburg,US18-FREDERICKSBURG
US1831396,Hardinsburg,US18-HARDINSBURG
US1844370,Little York,US18-LITTLE YORK
US1844424,Livonia,US18-LIVONIA
US1853388,New Pekin,US18-NEW PEKIN
US1867464,Salem,US18-SALEM
US1867626,Saltillo,US18-SALTILLO
US1806652,Boston,US18-BOSTON
US1809874,Cambridge City,US18-CAMBRIDGE CITY
US1811836,Centerville,US18-CENTERVILLE
US1818766,Dublin,US18-DUBLIN
US1819756,East Germantown,US18-EAST GERMANTOWN
US1820152,Economy,US18-ECONOMY
US1825090,Fountain City,US18-FOUNTAIN CITY
US1829754,Greens Fork,US18-GREENS FORK
US1830402,Hagerstown,US18-HAGERSTOWN
US1849860,Milton,US18-MILTON
US1851318,Mount Auburn,US18-MOUNT AUBURN
US1864260,Richmond,US18-RICHMOND
US1872206,Spring Grove,US18-SPRING GROVE
US1884086,Whitewater,US18-WHITEWATER
US1806220,Bluffton,US18-BLUFFTON
US1847160,Markle,US18-MARKLE
US1857168,Ossian,US18-OSSIAN
US1861020,Poneto,US18-PONETO
US1877786,Uniondale,US18-UNIONDALE
US1878776,Vera Cruz,US18-VERA CRUZ
US1886318,Zanesville,US18-ZANESVILLE
US1808146,Brookston,US18-BROOKSTON
US1808992,Buffalo,US18-BUFFALO
US1809316,Burnettsville,US18-BURNETTSVILLE
US1811944,Chalmers,US18-CHALMERS
US1835536,Idaville,US18-IDAVILLE
US1850148,Monon,US18-MONON
US1850760,Monticello,US18-MONTICELLO
US1855350,Norway,US18-NORWAY
US1863918,Reynolds,US18-REYNOLDS
US1885058,Wolcott,US18-WOLCOTT
US1812610,Churubusco,US18-CHURUBUSCO
US1814716,Columbia City,US18-COLUMBIA CITY
US1842282,Larwill,US18-LARWILL
US1871612,South Whitley,US18-SOUTH WHITLEY
US1876526,Tri-Lakes,US18-TRI-LAKES
US1900370,Adair,US19-ADAIR
US1908425,Bridgewater,US19-BRIDGEWATER
US1911395,Casey,US19-CASEY
US1928290,Fontanelle,US19-FONTANELLE
US1932790,Greenfield,US19-GREENFIELD
US1959565,Orient,US19-ORIENT
US1975990,Stuart,US19-STUART
US1910585,Carbon,US19-CARBON
US1916500,Corning,US19-CORNING
US1944490,Lenox,US19-LENOX
US1956865,Nodaway,US19-NODAWAY
US1964560,Prescott,US19-PRESCOTT
US1934590,Harpers Ferry,US19-HARPERS FERRY
US1943275,Lansing,US19-LANSING
US1955785,New Albin,US19-NEW ALBIN
US1964290,Postville,US19-POSTVILLE
US1982470,Waterville,US19-WATERVILLE
US1982740,Waukon,US19-WAUKON
US1912315,Centerville,US19-CENTERVILLE
US1913395,Cincinnati,US19-CINCINNATI
US1926310,Exline,US19-EXLINE
US1953985,Moravia,US19-MORAVIA
US1954390,Moulton,US19-MOULTON
US1955200,Mystic,US19-MYSTIC
US1957945,Numa,US19-NUMA
US1963345,Plano,US19-PLANO
US1965730,Rathbun,US19-RATHBUN
US1979410,Udell,US19-UDELL
US1979680,Unionville,US19-UNIONVILLE
US1903655,Audubon,US19-AUDUBON
US1908200,Brayton,US19-BRAYTON
US1926265,Exira,US19-EXIRA
US1932565,Gray,US19-GRAY
US1941295,Kimballton,US19-KIMBALLTON
US1903475,Atkins,US19-ATKINS
US1905590,Belle Plaine,US19-BELLE PLAINE
US1906805,Blairstown,US19-BLAIRSTOWN
US1930000,Garrison,US19-GARRISON
US1941115,Keystone,US19-KEYSTONE
US1947505,Luzerne,US19-LUZERNE
US1954435,Mount Auburn,US19-MOUNT AUBURN
US1956055,Newhall,US19-NEWHALL
US1957720,Norway,US19-NORWAY
US1972480,Shellsburg,US19-SHELLSBURG
US1979905,Urbana,US19-URBANA
US1980400,Van Horne,US19-VAN HORNE
US1981210,Vinton,US19-VINTON
US1981840,Walford,US19-WALFORD
US1982515,Watkins,US19-WATKINS
US1911755,Cedar Falls,US19-CEDAR FALLS
US1922845,Dunkerton,US19-DUNKERTON
US1924870,Elk Run Heights,US19-ELK RUN HEIGHTS
US1925995,Evansdale,US19-EVANSDALE
US1930675,Gilbertville,US19-GILBERTVILLE
US1937470,Hudson,US19-HUDSON
US1939405,Janesville,US19-JANESVILLE
US1939585,Jesup,US19-JESUP
US1943365,La Porte City,US19-LA PORTE CITY
US1965820,Raymond,US19-RAYMOND
US1982290,Washburn,US19-WASHBURN
US1982425,Waterloo,US19-WATERLOO
US1905185,Beaver,US19-BEAVER
US1906040,Berkley,US19-BERKLEY
US1907480,Boone,US19-BOONE
US1907750,Boxholm,US19-BOXHOLM
US1928920,Fraser,US19-FRASER
US1947280,Luther,US19-LUTHER
US1948450,Madrid,US19-MADRID
US1958665,Ogden,US19-OGDEN
US1962850,Pilot Mound,US19-PILOT MOUND
US1972345,Sheldahl,US19-SHELDAHL
US1973515,Slater,US19-SLATER
US1986970,Woodward,US19-WOODWARD
US1920035,Denver,US19-DENVER
US1929010,Frederika,US19-FREDERIKA
US1939405,Janesville,US19-JANESVILLE
US1963210,Plainfield,US19-PLAINFIELD
US1965910,Readlyn,US19-READLYN
US1976260,Sumner,US19-SUMNER
US1978915,Tripoli,US19-TRIPOLI
US1982875,Waverly,US19-WAVERLY
US1903835,Aurora,US19-AURORA
US1908155,Brandon,US19-BRANDON
US1926355,Fairbank,US19-FAIRBANK
US1935580,Hazleton,US19-HAZLETON
US1938100,Independence,US19-INDEPENDENCE
US1939585,Jesup,US19-JESUP
US1943005,Lamont,US19-LAMONT
US1965235,Quasqueton,US19-QUASQUETON
US1969060,Rowley,US19-ROWLEY
US1974955,Stanley,US19-STANLEY
US1986565,Winthrop,US19-WINTHROP
US1900865,Albert City,US19-ALBERT CITY
US1901495,Alta,US19-ALTA
US1942645,Lakeside,US19-LAKESIDE
US1945480,Linn Grove,US19-LINN GROVE
US1949260,Marathon,US19-MARATHON
US1955965,Newell,US19-NEWELL
US1966360,Rembrandt,US19-REMBRANDT
US1973425,Sioux Rapids,US19-SIOUX RAPIDS
US1975630,Storm Lake,US19-STORM LAKE
US1979095,Truesdale,US19-TRUESDALE
US1901315,Allison,US19-ALLISON
US1902395,Aplington,US19-APLINGTON
US1902620,Aredale,US19-AREDALE
US1908560,Bristow,US19-BRISTOW
US1913755,Clarksville,US19-CLARKSVILLE
US1922620,Dumont,US19-DUMONT
US1932745,Greene,US19-GREENE
US1956145,New Hartford,US19-NEW HARTFORD
US1961590,Parkersburg,US19-PARKERSBURG
US1972435,Shell Rock,US19-SHELL ROCK
US1926940,Farnhamville,US19-FARNHAMVILLE
US1939900,Jolley,US19-JOLLEY
US1941790,Knierim,US19-KNIERIM
US1942465,Lake City,US19-LAKE CITY
US1946245,Lohrville,US19-LOHRVILLE
US1947730,Lytton,US19-LYTTON
US1948990,Manson,US19-MANSON
US1964065,Pomeroy,US19-POMEROY
US1967125,Rinard,US19-RINARD
US1968295,Rockwell City,US19-ROCKWELL CITY
US1973920,Somers,US19-SOMERS
US1979335,Twin Lakes,US19-TWIN LAKES
US1987375,Yetter,US19-YETTER
US1902485,Arcadia,US19-ARCADIA
US1908290,Breda,US19-BREDA
US1911080,Carroll,US19-CARROLL
US1916050,Coon Rapids,US19-COON RAPIDS
US1919450,Dedham,US19-DEDHAM
US1931395,Glidden,US19-GLIDDEN
US1933645,Halbur,US19-HALBUR
US1943140,Lanesboro,US19-LANESBORO
US1945030,Lidderdale,US19-LIDDERDALE
US1948945,Manning,US19-MANNING
US1965505,Ralston,US19-RALSTON
US1977340,Templeton,US19-TEMPLETON
US1985710,Willey,US19-WILLEY
US1902260,Anita,US19-ANITA
US1903520,Atlantic,US19-ATLANTIC
US1917760,Cumberland,US19-CUMBERLAND
US1933150,Griswold,US19-GRISWOLD
US1944805,Lewis,US19-LEWIS
US1949575,Marne,US19-MARNE
US1950250,Massena,US19-MASSENA
US1986610,Wiota,US19-WIOTA
US1905770,Bennett,US19-BENNETT
US1913530,Clarence,US19-CLARENCE
US1922260,Downey,US19-DOWNEY
US1922980,Durant,US19-DURANT
US1946920,Lowden,US19-LOWDEN
US1950700,Mechanicsville,US19-MECHANICSVILLE
US1967890,Rochester,US19-ROCHESTER
US1975045,Stanwood,US19-STANWOOD
US1978285,Tipton,US19-TIPTON
US1983595,West Branch,US19-WEST BRANCH
US1986070,Wilton,US19-WILTON
US1909415,Burchinal,US19-BURCHINAL
US1914025,Clear Lake,US19-CLEAR LAKE
US1922080,Dougherty,US19-DOUGHERTY
US1950160,Mason City,US19-MASON CITY
US1951420,Meservey,US19-MESERVEY
US1956910,Nora Springs,US19-NORA SPRINGS
US1963885,Plymouth,US19-PLYMOUTH
US1964155,Portland,US19-PORTLAND
US1968025,Rock Falls,US19-ROCK FALLS
US1968250,Rockwell,US19-ROCKWELL
US1976620,Swaledale,US19-SWALEDALE
US1977880,Thornton,US19-THORNTON
US1980580,Ventura,US19-VENTURA
US1903745,Aurelia,US19-AURELIA
US1913080,Cherokee,US19-CHEROKEE
US1914115,Cleghorn,US19-CLEGHORN
US1943500,Larrabee,US19-LARRABEE
US1949350,Marcus,US19-MARCUS
US1951150,Meriden,US19-MERIDEN
US1965280,Quimby,US19-QUIMBY
US1982380,Washta,US19-WASHTA
US1901540,Alta Vista,US19-ALTA VISTA
US1904780,Bassett,US19-BASSETT
US1928965,Fredericksburg,US19-FREDERICKSBURG
US1938460,Ionia,US19-IONIA
US1943815,Lawler,US19-LAWLER
US1955335,Nashua,US19-NASHUA
US1956100,New Hampton,US19-NEW HAMPTON
US1957495,North Washington,US19-NORTH WASHINGTON
US1965010,Protivin,US19-PROTIVIN
US1955065,Murray,US19-MURRAY
US1959835,Osceola,US19-OSCEOLA
US1986880,Woodburn,US19-WOODBURN
US1921360,Dickens,US19-DICKENS
US1926175,Everly,US19-EVERLY
US1928650,Fostoria,US19-FOSTORIA
US1930810,Gillett Grove,US19-GILLETT GROVE
US1932970,Greenville,US19-GREENVILLE
US1962625,Peterson,US19-PETERSON
US1968925,Rossie,US19-ROSSIE
US1969105,Royal,US19-ROYAL
US1974280,Spencer,US19-SPENCER
US1983010,Webb,US19-WEBB
US1913845,Clayton,US19-CLAYTON
US1924060,Edgewood,US19-EDGEWOOD
US1924690,Elkader,US19-ELKADER
US1924825,Elkport,US19-ELKPORT
US1926850,Farmersburg,US19-FARMERSBURG
US1929685,Garber,US19-GARBER
US1929910,Garnavillo,US19-GARNAVILLO
US1933465,Guttenberg,US19-GUTTENBERG
US1947055,Luana,US19-LUANA
US1948000,McGregor,US19-MCGREGOR
US1949620,Marquette,US19-MARQUETTE
US1953310,Monona,US19-MONONA
US1957135,North Buena Vista,US19-NORTH BUENA VISTA
US1960015,Osterdock,US19-OSTERDOCK
US1964290,Postville,US19-POSTVILLE
US1970140,St. Olaf,US19-ST. OLAF
US1975855,Strawberry Point,US19-STRAWBERRY POINT
US1981345,Volga,US19-VOLGA
US1902080,Andover,US19-ANDOVER
US1906535,Big Rock,US19-BIG ROCK
US1909820,Calamus,US19-CALAMUS
US1910135,Camanche,US19-CAMANCHE
US1912855,Charlotte,US19-CHARLOTTE
US1914430,Clinton,US19-CLINTON
US1919720,Delmar,US19-DELMAR
US1921180,DeWitt,US19-DEWITT
US1931665,Goose Lake,US19-GOOSE LAKE
US1932025,Grand Mound,US19-GRAND MOUND
US1946605,Lost Nation,US19-LOST NATION
US1947010,Low Moor,US19-LOW MOOR
US1949215,Maquoketa,US19-MAQUOKETA
US1978600,Toronto,US19-TORONTO
US1983370,Welton,US19-WELTON
US1984945,Wheatland,US19-WHEATLAND
US1902755,Arion,US19-ARION
US1903340,Aspinwall,US19-ASPINWALL
US1909145,Buck Grove,US19-BUCK GROVE
US1912900,Charter Oak,US19-CHARTER OAK
US1919765,Deloit,US19-DELOIT
US1919945,Denison,US19-DENISON
US1922215,Dow City,US19-DOW CITY
US1922890,Dunlap,US19-DUNLAP
US1941610,Kiron,US19-KIRON
US1948855,Manilla,US19-MANILLA
US1966855,Ricketts,US19-RICKETTS
US1971130,Schleswig,US19-SCHLESWIG
US1980130,Vail,US19-VAIL
US1984630,Westside,US19-WESTSIDE
US1900505,Adel,US19-ADEL
US1907660,Bouton,US19-BOUTON
US1914520,Clive,US19-CLIVE
US1918255,Dallas Center,US19-DALLAS CENTER
US1919135,Dawson,US19-DAWSON
US1921045,De Soto,US19-DE SOTO
US1921225,Dexter,US19-DEXTER
US1932160,Granger,US19-GRANGER
US1933060,Grimes,US19-GRIMES
US1945390,Linden,US19-LINDEN
US1952545,Minburn,US19-MINBURN
US1962355,Perry,US19-PERRY
US1966045,Redfield,US19-REDFIELD
US1979950,Urbandale,US19-URBANDALE
US1980445,Van Meter,US19-VAN METER
US1982695,Waukee,US19-WAUKEE
US1983910,West Des Moines,US19-WEST DES MOINES
US1986970,Woodward,US19-WOODWARD
US1907030,Bloomfield,US19-BLOOMFIELD
US1922350,Drakesville,US19-DRAKESVILLE
US1927975,Floris,US19-FLORIS
US1965055,Pulaski,US19-PULASKI
US1919090,Davis City,US19-DAVIS CITY
US1919360,Decatur City,US19-DECATUR CITY
US1929775,Garden Grove,US19-GARDEN GROVE
US1932070,Grand River,US19-GRAND RIVER
US1942960,Lamoni,US19-LAMONI
US1944535,Leon,US19-LEON
US1944580,Le Roy,US19-LE ROY
US1963570,Pleasanton,US19-PLEASANTON
US1980490,Van Wert,US19-VAN WERT
US1983190,Weldon,US19-WELDON
US1915015,Colesburg,US19-COLESBURG
US1919630,Delaware,US19-DELAWARE
US1919675,Delhi,US19-DELHI
US1922800,Dundee,US19-DUNDEE
US1923115,Dyersville,US19-DYERSVILLE
US1923430,Earlville,US19-EARLVILLE
US1924060,Edgewood,US19-EDGEWOOD
US1932610,Greeley,US19-GREELEY
US1937155,Hopkinton,US19-HOPKINTON
US1948810,Manchester,US19-MANCHESTER
US1950205,Masonville,US19-MASONVILLE
US1969465,Ryan,US19-RYAN
US1903700,Augusta,US19-AUGUSTA
US1905200,Beaverdale,US19-BEAVERDALE
US1909550,Burlington,US19-BURLINGTON
US1918435,Danville,US19-DANVILLE
US1941430,Kingston,US19-KINGSTON
US1950790,Mediapolis,US19-MEDIAPOLIS
US1951735,Middletown,US19-MIDDLETOWN
US1958048,Oak Hills,US19-OAK HILLS
US1974325,Sperry,US19-SPERRY
US1983685,West Burlington,US19-WEST BURLINGTON
US1987330,Yarmouth,US19-YARMOUTH
US1903025,Arnolds Park,US19-ARNOLDS PARK
US1942600,Lake Park,US19-LAKE PARK
US1952095,Milford,US19-MILFORD
US1958710,Okoboji,US19-OKOBOJI
US1959655,Orleans,US19-ORLEANS
US1974415,Spirit Lake,US19-SPIRIT LAKE
US1976440,Superior,US19-SUPERIOR
US1977520,Terril,US19-TERRIL
US1981615,Wahpeton,US19-WAHPETON
US1984450,West Okoboji,US19-WEST OKOBOJI
US1903160,Asbury,US19-ASBURY
US1904375,Balltown,US19-BALLTOWN
US1904510,Bankston,US19-BANKSTON
US1906085,Bernard,US19-BERNARD
US1911305,Cascade,US19-CASCADE
US1912630,Centralia,US19-CENTRALIA
US1922395,Dubuque,US19-DUBUQUE
US1922935,Durango,US19-DURANGO
US1923115,Dyersville,US19-DYERSVILLE
US1925725,Epworth,US19-EPWORTH
US1926760,Farley,US19-FARLEY
US1931845,Graf,US19-GRAF
US1936885,Holy Cross,US19-HOLY CROSS
US1947460,Luxemburg,US19-LUXEMBURG
US1956550,New Vienna,US19-NEW VIENNA
US1962130,Peosta,US19-PEOSTA
US1966810,Rickardsville,US19-RICKARDSVILLE
US1969690,Sageville,US19-SAGEVILLE
US1972660,Sherrill,US19-SHERRILL
US1987060,Worthington,US19-WORTHINGTON
US1987690,Zwingle,US19-ZWINGLE
US1902935,Armstrong,US19-ARMSTRONG
US1921675,Dolliver,US19-DOLLIVER
US1925860,Estherville,US19-ESTHERVILLE
US1933240,Gruver,US19-GRUVER
US1967170,Ringsted,US19-RINGSTED
US1981975,Wallingford,US19-WALLINGFORD
US1902845,Arlington,US19-ARLINGTON
US1914250,Clermont,US19-CLERMONT
US1924645,Elgin,US19-ELGIN
US1926355,Fairbank,US19-FAIRBANK
US1927165,Fayette,US19-FAYETTE
US1935310,Hawkeye,US19-HAWKEYE
US1950610,Maynard,US19-MAYNARD
US1958620,Oelwein,US19-OELWEIN
US1965550,Randalia,US19-RANDALIA
US1970050,St. Lucas,US19-ST. LUCAS
US1974955,Stanley,US19-STANLEY
US1976260,Sumner,US19-SUMNER
US1981570,Wadena,US19-WADENA
US1982650,Waucoma,US19-WAUCOMA
US1984180,Westgate,US19-WESTGATE
US1984765,West Union,US19-WEST UNION
US1912765,Charles City,US19-CHARLES CITY
US1915465,Colwell,US19-COLWELL
US1928020,Floyd,US19-FLOYD
US1932745,Greene,US19-GREENE
US1949305,Marble Rock,US19-MARBLE ROCK
US1955335,Nashua,US19-NASHUA
US1956910,Nora Springs,US19-NORA SPRINGS
US1968070,Rockford,US19-ROCKFORD
US1968800,Roseville,US19-ROSEVILLE
US1969195,Rudd,US19-RUDD
US1900190,Ackley,US19-ACKLEY
US1901090,Alexander,US19-ALEXANDER
US1908020,Bradford,US19-BRADFORD
US1912675,Chapin,US19-CHAPIN
US1916815,Coulter,US19-COULTER
US1922305,Dows,US19-DOWS
US1930135,Geneva,US19-GENEVA
US1933960,Hampton,US19-HAMPTON
US1934365,Hansell,US19-HANSELL
US1943590,Latimer,US19-LATIMER
US1964110,Popejoy,US19-POPEJOY
US1972210,Sheffield,US19-SHEFFIELD
US1902035,Anderson,US19-ANDERSON
US1904735,Bartlett,US19-BARTLETT
US1926985,Farragut,US19-FARRAGUT
US1933780,Hamburg,US19-HAMBURG
US1938055,Imogene,US19-IMOGENE
US1962175,Percival,US19-PERCIVAL
US1965640,Randolph,US19-RANDOLPH
US1967575,Riverton,US19-RIVERTON
US1972525,Shenandoah,US19-SHENANDOAH
US1973065,Sidney,US19-SIDNEY
US1976935,Tabor,US19-TABOR
US1977970,Thurman,US19-THURMAN
US1913350,Churdan,US19-CHURDAN
US1918345,Dana,US19-DANA
US1931980,Grand Junction,US19-GRAND JUNCTION
US1939450,Jefferson,US19-JEFFERSON
US1961815,Paton,US19-PATON
US1965505,Ralston,US19-RALSTON
US1967215,Rippey,US19-RIPPEY
US1971310,Scranton,US19-SCRANTON
US1905140,Beaman,US19-BEAMAN
US1915825,Conrad,US19-CONRAD
US1921405,Dike,US19-DIKE
US1933195,Grundy Center,US19-GRUNDY CENTER
US1936705,Holland,US19-HOLLAND
US1954165,Morrison,US19-MORRISON
US1966315,Reinbeck,US19-REINBECK
US1975720,Stout,US19-STOUT
US1983325,Wellsburg,US19-WELLSBURG
US1900370,Adair,US19-ADAIR
US1904240,Bagley,US19-BAGLEY
US1904960,Bayard,US19-BAYARD
US1911395,Casey,US19-CASEY
US1916050,Coon Rapids,US19-COON RAPIDS
US1921320,Diamondhead Lake,US19-DIAMONDHEAD LAKE
US1933420,Guthrie Center,US19-GUTHRIE CENTER
US1939225,Jamaica,US19-JAMAICA
US1942575,Lake Panorama,US19-LAKE PANORAMA
US1951105,Menlo,US19-MENLO
US1961320,Panora,US19-PANORA
US1975990,Stuart,US19-STUART
US1987285,Yale,US19-YALE
US1906760,Blairsburg,US19-BLAIRSBURG
US1925050,Ellsworth,US19-ELLSWORTH
US1939675,Jewell Junction,US19-JEWELL JUNCTION
US1940215,Kamrar,US19-KAMRAR
US1965595,Randall,US19-RANDALL
US1974910,Stanhope,US19-STANHOPE
US1975810,Stratford,US19-STRATFORD
US1983145,Webster City,US19-WEBSTER CITY
US1985800,Williams,US19-WILLIAMS
US1908605,Britt,US19-BRITT
US1916590,Corwith,US19-CORWITH
US1917670,Crystal Lake,US19-CRYSTAL LAKE
US1922710,Duncan,US19-DUNCAN
US1928380,Forest City,US19-FOREST CITY
US1929955,Garner,US19-GARNER
US1931575,Goodell,US19-GOODELL
US1935490,Hayfield,US19-HAYFIELD
US1937875,Hutchins,US19-HUTCHINS
US1940260,Kanawha,US19-KANAWHA
US1941655,Klemme,US19-KLEMME
US1952140,Miller,US19-MILLER
US1986700,Woden,US19-WODEN
US1900190,Ackley,US19-ACKLEY
US1901045,Alden,US19-ALDEN
US1909100,Buckeye,US19-BUCKEYE
US1924465,Eldora,US19-ELDORA
US1929730,Garden City,US19-GARDEN CITY
US1937425,Hubbard,US19-HUBBARD
US1938640,Iowa Falls,US19-IOWA FALLS
US1956415,New Providence,US19-NEW PROVIDENCE
US1960555,Owasa,US19-OWASA
US1965370,Radcliffe,US19-RADCLIFFE
US1975180,Steamboat Rock,US19-STEAMBOAT ROCK
US1979545,Union,US19-UNION
US1985305,Whitten,US19-WHITTEN
US1909910,California Junction,US19-CALIFORNIA JUNCTION
US1922890,Dunlap,US19-DUNLAP
US1945840,Little Sioux,US19-LITTLE SIOUX
US1946155,Logan,US19-LOGAN
US1948495,Magnolia,US19-MAGNOLIA
US1952860,Missouri Valley,US19-MISSOURI VALLEY
US1952995,Modale,US19-MODALE
US1953175,Mondamin,US19-MONDAMIN
US1962445,Persia,US19-PERSIA
US1963075,Pisgah,US19-PISGAH
US1967530,River Sioux,US19-RIVER SIOUX
US1986835,Woodbine,US19-WOODBINE
US1916140,Coppock,US19-COPPOCK
US1936390,Hillsboro,US19-HILLSBORO
US1946965,Lowell,US19-LOWELL
US1954705,Mount Pleasant,US19-MOUNT PLEASANT
US1954795,Mount Union,US19-MOUNT UNION
US1956325,New London,US19-NEW LONDON
US1958890,Olds,US19-OLDS
US1968565,Rome,US19-ROME
US1970230,Salem,US19-SALEM
US1976800,Swedesburg,US19-SWEDESBURG
US1978780,Trenton,US19-TRENTON
US1982965,Wayland,US19-WAYLAND
US1984835,Westwood,US19-WESTWOOD
US1986385,Winfield,US19-WINFIELD
US1913125,Chester,US19-CHESTER
US1917220,Cresco,US19-CRESCO
US1925095,Elma,US19-ELMA
US1945165,Lime Springs,US19-LIME SPRINGS
US1965010,Protivin,US19-PROTIVIN
US1966585,Riceville,US19-RICEVILLE
US1907210,Bode,US19-BODE
US1908065,Bradgate,US19-BRADGATE
US1918075,Dakota City,US19-DAKOTA CITY
US1930945,Gilmore City,US19-GILMORE CITY
US1934455,Hardy,US19-HARDY
US1937560,Humboldt,US19-HUMBOLDT
US1945975,Livermore,US19-LIVERMORE
US1947370,Lu Verne,US19-LU VERNE
US1960420,Ottosen,US19-OTTOSEN
US1962985,Pioneer,US19-PIONEER
US1966450,Renwick,US19-RENWICK
US1969375,Rutland,US19-RUTLAND
US1977790,Thor,US19-THOR
US1903115,Arthur,US19-ARTHUR
US1904870,Battle Creek,US19-BATTLE CREEK
US1929595,Galva,US19-GALVA
US1936840,Holstein,US19-HOLSTEIN
US1938010,Ida Grove,US19-IDA GROVE
US1901720,Amana,US19-AMANA
US1915870,Conroy,US19-CONROY
US1923520,East Amana,US19-EAST AMANA
US1936030,High Amana,US19-HIGH AMANA
US1936975,Homestead,US19-HOMESTEAD
US1942330,Ladora,US19-LADORA
US1949395,Marengo,US19-MARENGO
US1951600,Middle Amana,US19-MIDDLE AMANA
US1952230,Millersburg,US19-MILLERSBURG
US1957225,North English,US19-NORTH ENGLISH
US1961770,Parnell,US19-PARNELL
US1973965,South Amana,US19-SOUTH AMANA
US1980805,Victor,US19-VICTOR
US1983505,West Amana,US19-WEST AMANA
US1985845,Williamsburg,US19-WILLIAMSBURG
US1902125,Andrew,US19-ANDREW
US1904330,Baldwin,US19-BALDWIN
US1905635,Bellevue,US19-BELLEVUE
US1943050,La Motte,US19-LA MOTTE
US1949215,Maquoketa,US19-MAQUOKETA
US1952050,Miles,US19-MILES
US1953265,Monmouth,US19-MONMOUTH
US1964605,Preston,US19-PRESTON
US1969510,Sabula,US19-SABULA
US1969960,St. Donatus,US19-ST. DONATUS
US1974460,Spragueville,US19-SPRAGUEVILLE
US1974505,Springbrook,US19-SPRINGBROOK
US1987690,Zwingle,US19-ZWINGLE
US1904915,Baxter,US19-BAXTER
US1915060,Colfax,US19-COLFAX
US1940440,Kellogg,US19-KELLOGG
US1942870,Lambs Grove,US19-LAMBS GROVE
US1947595,Lynnville,US19-LYNNVILLE
US1952815,Mingo,US19-MINGO
US1952950,Mitchellville,US19-MITCHELLVILLE
US1953355,Monroe,US19-MONROE
US1956505,Newton,US19-NEWTON
US1958170,Oakland Acres,US19-OAKLAND ACRES
US1964470,Prairie City,US19-PRAIRIE CITY
US1965955,Reasnor,US19-REASNOR
US1976035,Sully,US19-SULLY
US1980175,Valeria,US19-VALERIA
US1904825,Batavia,US19-BATAVIA
US1916140,Coppock,US19-COPPOCK
US1926445,Fairfield,US19-FAIRFIELD
US1944985,Libertyville,US19-LIBERTYVILLE
US1946065,Lockridge,US19-LOCKRIDGE
US1948500,Maharishi Vedic City,US19-MAHARISHI VEDIC CITY
US1960915,Packwood,US19-PACKWOOD
US1963615,Pleasant Plain,US19-PLEASANT PLAIN
US1916230,Coralville,US19-CORALVILLE
US1929325,Frytown,US19-FRYTOWN
US1936345,Hills,US19-HILLS
US1938595,Iowa City,US19-IOWA CITY
US1946335,Lone Tree,US19-LONE TREE
US1957360,North Liberty,US19-NORTH LIBERTY
US1960645,Oxford,US19-OXFORD
US1972840,Shueyville,US19-SHUEYVILLE
US1973875,Solon,US19-SOLON
US1976890,Swisher,US19-SWISHER
US1978060,Tiffin,US19-TIFFIN
US1979770,University Heights,US19-UNIVERSITY HEIGHTS
US1983595,West Branch,US19-WEST BRANCH
US1901990,Anamosa,US19-ANAMOSA
